START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
  5.3156689581377115E-01  5.2775080530836815E-01 -1.7154648061779891E+00
 -5.3156689581377115E-01 -5.2775080530836815E-01  1.7154648061779891E+00
  5.3096825440026540E-01 -5.2923462585185033E-01  1.7154648061779891E+00
 -5.3096825440026540E-01  5.2923462585185033E-01 -1.7154648061779891E+00
 -5.3096825440026540E-01 -5.3134508749018527E-01 -1.7154648061779891E+00
  5.3096825440026540E-01  5.3134508749018527E-01  1.7154648061779891E+00
  5.3156689581377115E-01 -5.3282890803366745E-01 -1.7154648061779891E+00
 -5.3156689581377115E-01  5.3282890803366745E-01  1.7154648061779891E+00
 -1.0627346973518719E+00 -1.0578977987379476E+00  1.1436432041186595E+00
  1.0627346973518719E+00  1.0578977987379476E+00 -1.1436432041186595E+00
 -1.0623356030762012E+00 -1.0602939868591592E+00 -1.1436432041186595E+00
  1.0623356030762012E+00  1.0602939868591592E+00  1.1436432041186595E+00
  1.0623356030762012E+00 -1.0608654398249120E+00  1.1436432041186595E+00
 -1.0623356030762012E+00  1.0608654398249120E+00 -1.1436432041186595E+00
 -1.0627346973518719E+00  1.0632616279461236E+00  1.1436432041186595E+00
  1.0627346973518719E+00 -1.0632616279461236E+00 -1.1436432041186595E+00
 -1.0625351502140366E+00 -1.5893857494695711E+00  0.0000000000000000E+00
  1.0625351502140366E+00  1.5893857494695711E+00  0.0000000000000000E+00
 -1.5938027253210549E+00 -1.0583539825268125E+00  0.0000000000000000E+00
  1.5938027253210549E+00  1.0583539825268125E+00  0.0000000000000000E+00
 -1.0625351502140366E+00  1.5923533905565355E+00  0.0000000000000000E+00
  1.0625351502140366E+00 -1.5923533905565355E+00  0.0000000000000000E+00
 -1.5938027253210549E+00  1.0628054441572587E+00  0.0000000000000000E+00
  1.5938027253210549E+00 -1.0628054441572587E+00  0.0000000000000000E+00
  1.9954713783521227E-04  1.5896714759524475E+00 -1.1436432041186595E+00
 -1.9954713783521227E-04 -1.5896714759524475E+00  1.1436432041186595E+00
  1.9954713783521227E-04 -1.5920676640736591E+00 -1.1436432041186595E+00
 -1.9954713783521227E-04  1.5920676640736591E+00  1.1436432041186595E+00
 -1.5936031781832196E+00  1.0276367546174681E-03 -1.1436432041186595E+00
  1.5936031781832196E+00 -1.0276367546174681E-03  1.1436432041186595E+00
 -1.5940022724588900E+00  3.4238248758289517E-03  1.1436432041186595E+00
  1.5940022724588900E+00 -3.4238248758289517E-03 -1.1436432041186595E+00
  1.0626349237829542E+00  1.5887867024392683E+00 -5.7182160205932975E-01
 -1.0626349237829542E+00 -1.5887867024392683E+00  5.7182160205932975E-01
  1.0624353766451189E+00  1.5899847964998739E+00  5.7182160205932975E-01
 -1.0624353766451189E+00 -1.5899847964998739E+00 -5.7182160205932975E-01
  1.5939024988899724E+00  1.0577549354965097E+00 -5.7182160205932975E-01
 -1.5939024988899724E+00 -1.0577549354965097E+00  5.7182160205932975E-01
  1.5937029517521373E+00  1.0589530295571152E+00  5.7182160205932975E-01
 -1.5937029517521373E+00 -1.0589530295571152E+00 -5.7182160205932975E-01
  1.0624353766451189E+00 -1.5917543435262327E+00  5.7182160205932975E-01
 -1.0624353766451189E+00  1.5917543435262327E+00 -5.7182160205932975E-01
 -1.0626349237829542E+00  1.5929524375868382E+00  5.7182160205932975E-01
  1.0626349237829542E+00 -1.5929524375868382E+00 -5.7182160205932975E-01
  1.5937029517521373E+00 -1.0622063971269560E+00  5.7182160205932975E-01
 -1.5937029517521373E+00  1.0622063971269560E+00 -5.7182160205932975E-01
 -1.5939024988899724E+00  1.0634044911875615E+00  5.7182160205932975E-01
  1.5939024988899724E+00 -1.0634044911875615E+00 -5.7182160205932975E-01
 -2.9932070675281843E-04 -1.0587825722511270E+00  1.7154648061779891E+00
  2.9932070675281843E-04  1.0587825722511270E+00 -1.7154648061779891E+00
 -1.0622358295072838E+00 -3.1332054742647260E-04 -1.7154648061779891E+00
  1.0622358295072838E+00  3.1332054742647260E-04  1.7154648061779891E+00
  2.9932070675281843E-04 -1.0623768544329442E+00 -1.7154648061779891E+00
 -2.9932070675281843E-04  1.0623768544329442E+00  1.7154648061779891E+00
  1.0628344709207893E+00 -3.2809616343907524E-03 -1.7154648061779891E+00
 -1.0628344709207893E+00  3.2809616343907524E-03  1.7154648061779891E+00
  5.3146712224485348E-01  1.5889295656807065E+00 -1.1436432041186595E+00
 -5.3146712224485348E-01 -1.5889295656807065E+00  1.1436432041186595E+00
 -5.3106802796918307E-01  1.5904133862241885E+00 -1.1436432041186595E+00
  5.3106802796918307E-01 -1.5904133862241885E+00  1.1436432041186595E+00
  5.3106802796918307E-01  1.5913257538019181E+00  1.1436432041186595E+00
 -5.3106802796918307E-01 -1.5913257538019181E+00 -1.1436432041186595E+00
  1.5940022724588900E+00  5.2686603179518876E-01 -1.1436432041186595E+00
 -1.5940022724588900E+00 -5.2686603179518876E-01  1.1436432041186595E+00
  5.3146712224485348E-01 -1.5928095743454000E+00 -1.1436432041186595E+00
 -5.3146712224485348E-01  1.5928095743454000E+00  1.1436432041186595E+00
 -1.5936031781832196E+00 -5.2926221991640032E-01 -1.1436432041186595E+00
  1.5936031781832196E+00  5.2926221991640032E-01  1.1436432041186595E+00
 -1.5936031781832196E+00  5.3131749342563528E-01 -1.1436432041186595E+00
  1.5936031781832196E+00 -5.3131749342563528E-01  1.1436432041186595E+00
 -1.5940022724588900E+00  5.3371368154684684E-01  1.1436432041186595E+00
  1.5940022724588900E+00 -5.3371368154684684E-01 -1.1436432041186595E+00
  5.3156689581377115E-01  1.0580406619793861E+00 -1.7154648061779891E+00
 -5.3156689581377115E-01 -1.0580406619793861E+00  1.7154648061779891E+00
  5.3096825440026540E-01 -1.0595244825228680E+00  1.7154648061779891E+00
 -5.3096825440026540E-01  1.0595244825228680E+00 -1.7154648061779891E+00
  1.0628344709207893E+00  5.2700889503662707E-01 -1.7154648061779891E+00
 -1.0628344709207893E+00 -5.2700889503662707E-01  1.7154648061779891E+00
 -5.3096825440026540E-01 -1.0616349441612032E+00 -1.7154648061779891E+00
  5.3096825440026540E-01  1.0616349441612032E+00  1.7154648061779891E+00
 -1.0622358295072838E+00  5.2997653612359141E-01 -1.7154648061779891E+00
  1.0622358295072838E+00 -5.2997653612359141E-01  1.7154648061779891E+00
 -1.0622358295072838E+00 -5.3060317721844419E-01 -1.7154648061779891E+00
  1.0622358295072838E+00  5.3060317721844419E-01  1.7154648061779891E+00
  5.3156689581377115E-01 -1.0631187647046851E+00 -1.7154648061779891E+00
 -5.3156689581377115E-01  1.0631187647046851E+00  1.7154648061779891E+00
