START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
 -9.9934387182112305E-01 -5.0778453209747387E-01 -2.9148914213284749E-03
  4.9863850687651717E-01 -1.0134516991282179E+00 -6.0946627590009244E-03
 -4.9863850687651717E-01  1.0134516991282179E+00  6.0946627590009244E-03
 -5.0029199333098806E-01 -1.0142986451549096E+00 -5.9887107924633349E-03
  5.0029199333098806E-01  1.0142986451549096E+00  5.9887107924633349E-03
  4.9933309314813012E-01 -5.0077647488461940E-01  8.8931312317734335E-01
 -4.9933309314813012E-01  5.0077647488461940E-01 -8.8931312317734335E-01
  4.9959740705937516E-01  5.0162342091131140E-01 -8.8941907514388097E-01
 -4.9959740705937516E-01 -5.0162342091131140E-01  8.8941907514388097E-01
  4.9877066383213969E-01 -5.1225175123025235E-01 -8.9546076191961299E-01
 -4.9877066383213969E-01  5.1225175123025235E-01  8.9546076191961299E-01
  5.0015983637536554E-01  5.1309869725694435E-01  8.9535480995307537E-01
 -5.0015983637536554E-01 -5.1309869725694435E-01 -8.9535480995307537E-01
  9.9865773592288520E-01 -5.0322182095768164E-01  4.4306667591983545E-01
 -9.9865773592288520E-01  5.0322182095768164E-01 -4.4306667591983545E-01
 -9.9920326449212538E-01 -5.0491571301106564E-01  4.4327857985291058E-01
  9.9920326449212538E-01  5.0491571301106564E-01 -4.4327857985291058E-01
 -9.9837652126488996E-01  5.0895945913049812E-01  4.4932026662864272E-01
  9.9837652126488996E-01 -5.0895945913049812E-01 -4.4932026662864272E-01
 -9.9948447915012062E-01 -5.1065335118388211E-01 -4.4910836269556759E-01
  9.9948447915012062E-01  5.1065335118388211E-01  4.4910836269556759E-01
  4.9877911420551480E-01 -1.0105828800418095E+00  4.4009880851523814E-01
 -4.9877911420551480E-01  1.0105828800418095E+00 -4.4009880851523814E-01
  5.0015138600199049E-01  1.0114298260685013E+00 -4.4020476048177576E-01
 -5.0015138600199049E-01 -1.0114298260685013E+00  4.4020476048177576E-01
  4.9849789954751955E-01 -1.0163205182146262E+00 -4.5228813403324003E-01
 -4.9849789954751955E-01  1.0163205182146262E+00  4.5228813403324003E-01
  5.0043260065998574E-01  1.0171674642413180E+00  4.5218218206670241E-01
 -5.0043260065998574E-01 -1.0171674642413180E+00 -4.5218218206670241E-01
 -4.2182198699280580E-04 -8.6064572592247576E-03 -1.3385804138227173E+00
  4.2182198699280580E-04  8.6064572592247576E-03  1.3385804138227173E+00
  9.9864928554951005E-01 -4.8906921461245138E-03 -8.9249289451501579E-01
 -9.9864928554951005E-01  4.8906921461245138E-03  8.9249289451501579E-01
  9.9921171486550053E-01  6.5845841995084958E-03  8.9228099058194055E-01
 -9.9921171486550053E-01 -6.5845841995084958E-03 -8.9228099058194055E-01
  5.4552856924026472E-04  1.0081375339687473E+00 -8.8634525577274603E-01
 -5.4552856924026472E-04 -1.0081375339687473E+00  8.8634525577274603E-01
  1.1079578852306723E-03  1.0196128103143802E+00  8.9842862932421030E-01
 -1.1079578852306723E-03 -1.0196128103143802E+00 -8.9842862932421030E-01
  9.9810375698026987E-01 -1.0130282261148718E+00 -6.1476387422697192E-03
 -9.9810375698026987E-01  1.0130282261148718E+00  6.1476387422697192E-03
  9.9975724343474071E-01  1.0147221181682557E+00  5.9357348091945402E-03
 -9.9975724343474071E-01 -1.0147221181682557E+00 -5.9357348091945402E-03
 -8.4503733750715176E-06  4.9833112881155711E-01 -1.3355595704348513E+00
  8.4503733750715176E-06 -4.9833112881155711E-01  1.3355595704348513E+00
 -9.9879834325188277E-01  5.0035300187127341E-01 -8.8926014719407454E-01
  9.9879834325188277E-01 -5.0035300187127341E-01  8.8926014719407454E-01
  4.9904342811675984E-01 -8.1829842458787626E-03 -1.3386333898059861E+00
 -4.9904342811675984E-01  8.1829842458787626E-03  1.3386333898059861E+00
 -9.9906265716312781E-01 -5.0204689392465740E-01  8.8947205112714978E-01
  9.9906265716312781E-01  5.0204689392465740E-01 -8.8947205112714978E-01
